formula,Property $\beta$1,Property Zc,Property Zc units,Property Tl,Property Tl units,Property $\alpha$,Property 1/$\omega$,Property Tx/Tl,Property Dmax,Property Dmax units,Property Tm,Property Tm units,Property $\omega$,Property $\phi$,Property $\Delta$Trg,Property Rc,Property Rc units,Property Trg,Property $\delta$,Property Zmax,Property Zmax units,Property Tx,Property Tx units,Property Density,Property Density units,Property $\gamma$,Property Structure,Property Txg,Property Txg units,Property Tg/Tm,Property $\Delta$Tx,Property Tg,Property Tg units,Property $\beta$,Property R,Property $\gamma$m
Er$_{50}$Al$_{24}$Co$_{20}$Y$_{6}$,,8,mm,1079,K,,,0.65060241,,,,,0.131787543,,,,,0.603336423,,,,702,K,,,0.405780347,,,,,,651,K,,,
Ca$_{70}$Mg$_{10}$Zn$_{20}$,2.1999,,,657,K,0.60731,4.926,0.607305936,0.5,mm,,,0.203004466,0.39408,0.11034,,,0.5586,1.3759,,,399,K,,,0.38965,,,,,32,367,K,1.6458,,0.65601
Ti$_{50}$Cu$_{42.5}$Ni$_{7.5}$,1.7679,,,1226,K,0.57749,4.174,0.577487765,0.2,mm,,,0.239578342,0.36255,0.06835,,,0.54649,1.2734,,,708,K,,,0.37342,,,,,38,670,K,1.6032,,0.60848
Fe$_{61}$B$_{15}$Mo$_{7}$Zr$_{8}$Co$_{7}$Y$_{2}$,2.5196,,,1490,K,0.61503,4.318,0.615033557,5,mm,,,0.231588698,0.32642,0.02016,,,0.60711,1.5654,,,916.4,K,,,0.38269,,,,,11.8,904.6,K,1.6202,,0.62295
Ni$_{69}$Cr$_{8.5}$Nb$_{3}$P$_{19.5}$,,,,1136,K,,,,,,,,,,,,,0.581,,,,,,,,,,,,,,660,K,,,
Ca$_{60}$Mg$_{20}$Cu$_{20}$,2.2534,,,678,K,0.60767,4.7046,0.607669617,4,mm,,,0.212557922,0.38578,0.08591,,,0.5708,1.4158,,,412,K,,,0.38685,,,,,25,387,K,1.6354,,0.64454
La$_{62.5}$Al$_{12.5}$Ag$_{5}$Cu$_{17.5}$Fe$_{2.5}$,2.9737,,,711,K,0.6526,7.5158,0.652601969,7,mm,,,0.133053035,0.4326,0.2281,,,0.5499,1.45,,,464,K,,,0.4211,,,,,73,391,K,1.7366,,0.7553
Zr$_{50}$Cu$_{38}$Al$_{12}$,,,,1170,K,,,,,,,,0.17,,,,,0.617,,,,774,K,,,0.409,,,,,52,722,K,,,
Cu$_{54}$Ni$_{6}$Zr$_{22}$Ti$_{18}$,,6,mm,1287,K,,,0.597513598,,,,,0.249351334,,,,,0.553224553,,,,769,K,,,0.384692346,,,,,,712,K,,,
Fe$_{56}$Co$_{16}$Y$_{6}$B$_{22}$,2.5432,,,1494,K,0.6205,4.784,0.620481928,2.5,mm,,,0.2090301,0.3858,0.0735,,,0.5904,1.5147,,,927,K,,,0.3902,,,,,45,882,K,1.6414,,0.6506
Al$_{22.3}$Co$_{22.3}$Zr$_{55.4}$,,,,1326,K,,,,,,,,0.20818504,,,,,0.578,,,,815,K,,,0.389393215,,,,,48,767,K,,,
Pd$_{37.5}$Cu$_{30}$Ni$_{12.5}$P$_{20}$,4.6537,,,929,K,0.69645,,0.696447793,,,,,0.12192,0.46048,0.21008,0.133,K/s,0.61572,1.8123,,,647,K,,,0.43105,,,,,75,572,K,1.7468,,0.77718
Mg$_{65}$Cu$_{25}$Gd$_{5}$Y$_{5}$,2.7738,,,755,K,0.64371,7.0125,0.643708609,5,mm,,,0.142602496,0.42695,0.21345,,,0.54702,1.4211,,,486,K,,,0.4161,,,,,73,413,K,1.7238,,0.7404
Zr$_{50}$Cu$_{43}$Al$_{7}$,,,,1181,K,,,,,,,,0.141,,,,,0.595,,,,792,K,,,0.405,,,,,89,703,K,,,
Zr$_{48}$Cu$_{42}$Al$_{7}$Ag$_{3}$,3.8596,,,1135,K,0.67225,6.473,0.672246696,10,mm,,,0.154487873,0.43708,0.14483,,,0.61674,1.754,,,763,K,,,0.4158,,,,,63,700,K,1.7067,,0.72775
Zr$_{46}$Cu$_{49}$Al$_{5}$,,,,1193,K,,,,,,,,0.186,,,,,0.596,,,,762,K,,,0.4,,,,,51,711,K,,,
Sm$_{40}$Al$_{25}$Co$_{20}$Y$_{15}$,,3,mm,950,K,,,0.691578947,,,,,0.175578392,,,,,0.621052632,,,,657,K,,,0.426623377,,,,,,590,K,,,
Cu$_{60}$Hf$_{20}$Ti$_{20}$,2.8791,,,1211,K,0.63336,4.8494,0.633360859,4,mm,,,0.206211078,0.3806,0.05732,,,0.61107,1.6285,,,767,K,,,0.39313,,,,,27,740,K,1.6476,,0.65566
Al$_{32}$Ca$_{58}$Mg$_{10}$,,,,873,K,,,,,,,,0.211502783,,,,,0.587628866,,,,539,K,,,0.388888889,,,,,,513,K,,,
Ca$_{58}$Mg$_{18}$Cu$_{24}$,2.8458,,,667,K,0.63868,5.706,0.63868066,6,mm,,,0.175254118,0.41727,0.1362,,,0.58171,1.5269,,,426,K,,,0.40379,,,,,38,388,K,1.6796,,0.69565
Ce$_{60}$Al$_{20}$Co$_{20}$,,,,798.4934,K,,,,,,,,0.212318634,,,,,0.531,,,,468,K,,,0.38282415,,,,,44,424,K,,,
Cu$_{49}$Hf$_{42}$Al$_{9}$,4.5063,,,1249,K,0.69095,7.47,0.690952762,10,mm,,,0.133868809,0.45385,0.18047,,,0.6229,1.8323,,,863,K,,,0.42575,,,,,85,778,K,1.7322,,0.75901
Ni$_{59}$Zr$_{16}$Ti$_{13}$Si$_{3}$Sn$_{2}$Nb$_{7}$,4.3213,,,1301,K,0.68025,,0.680245965,,,,,0.16729,0.41989,0.08772,40,K/s,0.6495,1.9408,,,885,K,,,0.4124,,,,,40,845,K,1.6968,,0.71099
Al$_{20}$Ca$_{65}$Mg$_{15}$,,,,776,K,,,,,,,,0.195596607,,,,,0.596649485,,,,491,K,,,0.396287328,,,,,,463,K,,,
Ca$_{55}$Mg$_{25}$Ag$_{20}$,,,,661.8945,K,,,,,,,,0.181066096,,,,,0.616623225,,,,432.3881,K,,,0.404088163,,,,,26.07142857,408.1395,K,,,
La$_{55}$Al$_{15}$Ag$_{10}$Cu$_{20}$,2.1742,,,787,K,0.6137,5.8935,0.613722999,2,mm,,,0.169678459,0.4071,0.1806,,,0.5286,1.3019,,,483,K,,,0.4015,,,,,67,416,K,1.6896,,0.6989
Ce$_{70}$Al$_{10}$Cu$_{20}$,,2,mm,,,,,,,,,,0.168000357,,,,,,,,,401,K,,,,,,,,,341,K,,,
Pd$_{84}$Si$_{16}$,,,,1108,K,,,0.578,,,,,0.263558699,,,,,0.573,,,,640,K,,,0.367,,,,,5,635,K,,0.775,
Ag$_{30}$Cu$_{40}$Zr$_{30}$,,,,709.9448,K,,,,,,,,,,,,,1.005039841,,,,753.4057,K,,,0.529274929,,,,,39.88290733,713.5228,K,,,
Zr$_{50}$Cu$_{43}$Ag$_{7}$,2.4671,,,1171,K,0.6208,5.1801,0.620836892,4,mm,,,0.193046466,0.4027,0.1155,,,0.5713,1.4482,,,727,K,,,0.3951,,,,,58,669,K,1.658,,0.6704
Fe$_{68}$Mo$_{5}$Ni$_{5}$Cr$_{2}$P$_{12.5}$C$_{5}$B$_{2.5}$,,,,1213,K,,,,,,,,,,,,,0.567,,,,,,,,,,,,,,688,K,,,
Ca$_{55}$Mg$_{20}$Cu$_{25}$,1.9665,,,720,K,0.59167,4.4746,0.591666667,2,mm,,,0.223483663,0.37704,0.08411,,,0.55417,1.3271,,,426,K,,,0.3807,,,,,27,399,K,1.6218,,0.62917
Ti$_{42.5}$Zr$_{2.5}$Hf$_{5}$Cu$_{42.5}$Ni$_{7.5}$,2.1602,,,1203,K,0.60349,4.7104,0.603491272,2.5,mm,,,0.212296196,0.38659,0.09316,,,0.56276,1.3802,,,726,K,,,0.38617,,,,,49,677,K,1.6351,,0.64422
Hf$_{48}$Cu$_{29.25}$Ni$_{9.75}$Al$_{13}$,4.1623,,,1280,K,0.6828,7.2527,0.6828125,10,mm,,,0.137879686,0.4492,0.1798,,,0.6133,1.7657,,,874,K,,,0.4232,,,,,89,785,K,1.7267,,0.7523
(Cu$_{0.6}$Hf$_{0.25}$Ti$_{0.15}$)$_{94}$Nb$_{6}$,3.5655,,,1190,K,0.65966,5.586,0.659663866,4,mm,,,0.179018976,0.41208,0.08989,,,0.62605,1.764,,,785,K,,,0.40568,,,,,40,745,K,1.6797,,0.69328
{[(Fe0.6Co0.4)0.75B0.2Si0.05]0.96Nb0.04}99Cr1,2.0623,,,1462,K,0.5958,4.4073,0.595759234,4,mm,,,0.226896286,0.3719,0.0693,,,0.5657,1.3717,,,871,K,,,0.3805,,,,,44,827,K,1.6189,,0.6259
Zr$_{57}$Ti$_{5}$Al$_{10}$Cu$_{20}$Ni$_{8}$,2.6949,,,1145.2,K,0.62871,,0.628711142,,,,,0.19701,0.39883,0.09242,10,K/s,0.5909,1.5368,,,720,K,,,0.39519,,,,,43.3,676.7,K,1.6549,,0.66652
Zr$_{52}$Cu$_{38}$Al$_{10}$,,,,1181,K,,,,,,,,0.172,,,,,0.606,,,,767,K,,,0.411,,,,,62,705,K,,,
La$_{65}$Al$_{14}$Cu$_{9.2}$Ag$_{1.8}$Ni$_{5}$Co$_{5}$,,,,687,K,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,419,K,,,
Fe$_{79}$P$_{10}$C$_{4}$B$_{4}$Si$_{3}$,2.3972,,,1263,K,0.61292,4.606,0.612826603,1,mm,,,0.21710812,0.37722,0.06503,,,0.586,1.4805,,,774,K,,,0.38646,,,,,34,740,K,1.6319,,0.63985
Zr$_{54}$Cu$_{40}$Al$_{6}$,,,,1216,K,,,,,,,,0.203,,,,,0.56,,,,741,K,,,0.39,,,,,57,684,K,,,
(Fe$_{0.75}$B$_{0.15}$Si$_{0.10}$)$_{98}$Nb$_{2}$,2.2971,,,1425,K,0.61071,4.8258,0.610526316,1,mm,,,0.207219528,0.39082,0.09468,,,0.57,1.4203,,,870,K,,,0.38899,,,,,58,812,K,1.6414,,0.65143
(Fe$_{72}$Nb$_{4}$B$_{20}$Si$_{4}$)$_{98}$Y$_{2}$,2.9337,,,1416,K,0.63771,5.1581,0.637711864,2,mm,,,0.193869836,0.39999,0.08556,,,0.60381,1.6096,,,903,K,,,0.39762,,,,,48,855,K,1.66,,0.67161
Cu$_{45}$Zr$_{15}$Ag$_{10}$Hf$_{30}$,2.5108,,,1275,K,0.6267,5.7321,0.626666667,2,mm,,,0.174456133,0.4134,0.1545,,,0.5584,1.4192,,,799,K,,,0.4021,,,,,87,712,K,1.6806,,0.6949
Mg$_{65}$Cu$_{20}$Zn$_{5}$Y$_{10}$,,6,mm,,,,,,,,,,,,,,,,,,,456,K,,,,,,,,,404,K,,,
Ca$_{63}$Al$_{32}$Ag$_{5}$,,,,,,,,,,,,,,,,,,,,,,527,K,,,,,,,,24,503,K,,,
Pd$_{45}$Cu$_{30}$Ni$_{5}$P$_{20}$,9.3188,,,861,K,0.76539,,0.765389082,,,,,0.07307,0.50699,0.28873,0.083,K/s,0.67015,2.3204,,,659,K,,,0.45828,,,,,82,577,K,1.8123,,0.86063
((Co$_{0.8}$Fe$_{0.2}$)$_{0.75}$B$_{0.2}$Si$_{0.05}$)$_{96}$Nb$_{4}$,1.9788,,,1445,K,0.59031,4.2918,0.590311419,2.5,mm,,,0.23300247,0.36574,0.06329,,,0.563,1.3497,,,853,K,,,0.37777,,,,,40,813,K,1.6118,,0.61799
Be$_{40}$Zr$_{60}$,,,,1343,K,,,0.501,,,,,0.291931634,,,,,0.464,,,,673,K,5.46,g/cm3,0.342,,,,,50,623,K,,0.709,
((Ni$_{0.8}$Fe$_{0.2}$)$_{0.75}$B$_{0.2}$Si$_{0.05}$)$_{96}$Nb$_{4}$,1.7479,,,1381,K,0.57567,4.1194,0.575669804,2,mm,,,0.242753799,0.35917,0.0639,,,0.547,1.27,,,795,K,,,0.37219,,,,,40,755,K,1.5997,,0.60463
Mg$_{65}$Ni$_{20}$Nd$_{15}$,2.4883,,,805,K,0.62236,,0.622360248,,,,,0.1899,0.40504,0.12139,30,K/s,0.57019,1.448,,,501,K,,,0.39636,,,,,42,459,K,1.6617,,0.67453
Ti$_{47.5}$Zr$_{2.5}$Cu$_{42.5}$Ni$_{7.5}$,1.9,,,1225,K,0.58776,4.4335,0.587755102,1.5,mm,,,0.22555543,0.37548,0.08514,,,0.54939,1.3043,,,720,K,,,0.37935,,,,,47,673,K,1.6192,,0.62612
Ti$_{53}$Cu$_{15}$Ni$_{18.5}$Al$_{7}$Si$_{3}$Sc$_{3}$B$_{0.5}$,2.4306,,,1240,K,0.61855,5.0806,0.618548387,2,mm,,,0.196827146,0.39972,0.10923,,,0.57177,1.4444,,,767,K,,,0.39354,,,,,58,709,K,1.6536,,0.66532
Al$_{86.5}$Ni$_{4.5}$Y$_{9}$,,,,1222,K,,,,,,,,0.375,,,,,0.41,,,,526,K,,,0.305,,,,,21,505,K,,,
Mg$_{65}$Cu$_{25}$Gd$_{10}$,3.124,,,740,K,0.65405,,0.654054054,,,,,0.14654,0.43336,0.19243,1,K/s,0.57162,1.5268,,,484,K,,,0.41617,,,,,61,423,K,1.7158,,0.73649
Pd$_{79}$Cu$_{5}$AgSi$_{10}$P$_{5}$,4.1793,,,1001,K,0.68332,7.2839,0.683316683,4,mm,,,0.13728909,0.44965,0.18088,,,0.61339,1.7674,,,684,K,,,0.42353,,,,,70,614,K,1.7274,,0.75325
((Fe$_{0.7}$Co$_{0.3}$)$_{0.75}$B$_{0.2}$Si$_{0.05}$)$_{96}$Nb$_{4}$,2.5399,,,1413,K,0.62137,4.8996,0.621372965,3.5,mm,,,0.204098294,0.39225,0.08547,,,0.58599,1.5009,,,878,K,,,0.39179,,,,,50,828,K,1.6464,,0.65676
Zr$_{64.5}$Al$_{9.2}$Ni$_{13.2}$Cu$_{13.1}$,,,,1138,K,,,,,,,,0.136481187,,,,,0.578,,,,757,K,,,0.421492205,,,,,99,658,K,,,
Zr$_{49}$Cu$_{46}$Al$_{5}$,,,,1195,K,,,,,,,,0.195,,,,,0.587,,,,750,K,,,0.396,,,,,49,701,K,,,
Fe$_{70}$Mo$_{2}$Y$_{6}$B$_{22}$,3.0252,,,1508,K,0.6426,5.409,0.642572944,3.5,mm,,,0.184877057,0.4098,0.1032,,,0.6015,1.6123,,,969,K,,,0.4012,,,,,62,907,K,1.6698,,0.6837
Pr$_{72}$(CuNi)$_{21}$Al$_{7}$,,1.5,mm,760,K,,,0.539473684,,,,,0.058544765,,,,,0.519736842,,,,410,K,,,0.354978355,,,,,,395,K,,,
Fe$_{68.3}$C$_{6.9}$Si$_{2.5}$B$_{6.7}$P$_{8.8}$Cr$_{2.2}$Mo$_{2.5}$Al$_{2.1}$,2.8692,,,1316,K,0.6345,5.0277,0.63449848,4,mm,,,0.198898105,0.39396,0.07678,,,0.6041,1.6027,,,835,K,,,0.39555,,,,,40,795,K,1.6544,,0.66489
Mg$_{64.5}$Cu$_{24.5}$Gd$_{11}$,2.7344,,,739,K,0.6387,6.3297,0.638700947,6,mm,,,0.157985371,0.42311,0.18098,,,0.55886,1.4479,,,472,K,,,0.40972,,,,,59,413,K,1.7017,,0.71854
Mg$_{65}$Cu$_{25}$Dy$_{10}$,3.1192,,,750,K,0.656,7.2681,0.656,3,mm,,,0.13758754,0.43519,0.21341,,,0.56267,1.5,,,492,K,,,0.4198,,,,,70,422,K,1.7285,,0.74933
Pt$_{57.5}$Cu$_{14.7}$Ni$_{5.3}$P$_{22.5}$,,16,mm,795,K,,,0.762264151,,,,,0.1322884,,,,,0.638993711,,,,606,K,,,0.465080583,,,,,,508,K,,,
Zr$_{50}$Cu$_{45}$Ag$_{5}$,2.3017,,,1188,K,0.6128,5.0393,0.612794613,4,mm,,,0.19844026,0.3979,0.1137,,,0.5631,1.4027,,,728,K,,,0.392,,,,,59,669,K,1.6513,,0.6625
"Fe$_{66}$Co$_{10}$Mo$_{4}$(P$_{0.45}$,C$_{0.2}$,B$_{0.2}$,Si$_{0.15}$)$_{20}$",3.127,,,1221,K,0.6454,5.3502,0.645372645,6,mm,,,0.186908901,0.4067,0.0922,,,0.6093,1.652,,,788,K,,,0.401,,,,,44,744,K,1.6685,,0.6814
Zr$_{54}$Al$_{15}$Ni$_{10}$Cu$_{19}$Y$_{2}$,5.3199,,,1112,K,0.70773,7.9869,0.707733813,5,mm,,,0.125205023,0.46341,0.18342,,,0.64209,1.9774,,,787,K,,,0.431,,,,,73,714,K,1.7443,,0.77338
Mg$_{65}$Cu$_{7.5}$Ni$_{7.5}$Ag$_{5}$Zn$_{5}$Gd$_{2.5}$Y$_{7.5}$,2.9836,,,735,K,0.64354,5.7473,0.643537415,9.5,mm,,,0.173994745,0.41906,0.13245,,,0.58912,1.5662,,,473,K,,,0.40497,,,,,40,433,K,1.6815,,0.69796
Ni$_{28}$Zr$_{72}$,,,,1313,K,,,0.506,,,,,0.310089976,,,,,0.489,,,,664,K,,,0.34,,,,,22,642,K,,0.797,
Ag$_{5}$Cu$_{55}$Zr$_{40}$,,,,1171.82,K,,,,,,,,,,,,,0.598170354,,,,,,,,,,,,,,,,,,
Ni$_{69}$Cr$_{8.5}$Nb$_{3}$P$_{16.5}$B$_{3}$,,,,1134,K,,,,,,,,,,,,,0.589,,,,,,,,,,,,,,668,K,,,
Zr$_{48}$Nb$_{8}$Cu$_{12}$Fe$_{8}$Be$_{24}$,4.8258,,,1071,K,0.70121,8.6933,0.701213819,8,mm,,,0.115031116,0.46443,0.22518,,,0.61438,1.8184,,,751,K,,,0.43436,,,,,93,658,K,1.7557,,0.78805
Al$_{89.5}$Co$_{3.5}$Y$_{7}$,,,,1188,K,,,,,,,,0.446066312,,,,,0.39,,,,460,K,,,0.278565027,,,,,,463.32,K,,,
La$_{62.5}$Al$_{12.5}$Cu$_{10}$Ni$_{5}$Co$_{5}$Ag$_{5}$,,,,691,K,,,,,,,,,,,,,0.585,,,,,,,,,,,,,,404,K,,,
Zr$_{60}$Cu$_{30}$Al$_{10}$,,,,1151,K,,,,,,,,0.161,,,,,0.583,,,,748,K,,,0.411,,,,,77,671,K,,,
Ca$_{60}$Mg$_{15}$Zn$_{25}$,3.2543,,,650,K,0.65692,6.6247,0.656923077,6,mm,,,0.150950232,0.43391,0.17712,,,0.58308,1.5756,,,427,K,,,0.41497,,,,,48,379,K,1.7097,,0.73077
Pd$_{40}$Cu$_{32.5}$Ni$_{7.5}$P$_{20}$,4.8066,,,932,K,0.70172,,0.701716738,,,,,0.11117,0.46526,0.23626,0.133,K/s,0.60944,1.7967,,,654,K,,,0.436,,,,,86,568,K,1.7609,,0.79399
(Fe$_{72}$Nb$_{4}$B$_{20}$Si$_{4}$)$_{99}$Y,2.6024,,,1419,K,0.62086,4.5765,0.62085976,2,mm,,,0.218507593,0.36564,0.0461,,,0.60254,1.5621,,,881,K,,,0.38742,,,,,26,855,K,1.6329,,0.63918
Ni$_{61}$Zr$_{22}$Nb$_{7}$Al$_{4}$Ta$_{6}$,3.9339,,,1379,K,0.67223,6.1261,0.672226251,2,mm,,,0.16323599,0.42913,0.11719,,,0.62872,1.8105,,,927,K,,,0.41273,,,,,60,867,K,1.6979,,0.71574
Ti$_{34}$Zr$_{11}$Cu$_{47}$Ni$_{8}$,2.5996,,,1169.2,K,0.62196,,0.621963736,,,,,0.21248,0.37862,0.06117,100,K/s,0.59733,1.5446,,,727.2,K,,,0.38938,,,,,28.8,698.4,K,1.6386,,0.6466
Zr$_{45}$Cu$_{48}$Al$_{7}$,,,,1188,K,,,,,,,,0.17,,,,,0.606,,,,778,K,,,0.408,,,,,58,720,K,,,
Zr$_{45}$Cu$_{49}$Al$_{6}$,,,,1178,K,,,,,,,,0.182,,,,,0.609,,,,764,K,,,0.403,,,,,47,717,K,,,
Al$_{85}$Co$_{5}$Y$_{10}$,,,,1232,K,,,,,,,,0.358778949,,,,,0.48,,,,587,K,,,0.321933134,,,,,,591.36,K,,,
Cu$_{45}$Zr$_{45}$Ag$_{7}$Al$_{3}$,3.6021,,,1151,K,0.6673,6.775,0.667245873,7,mm,,,0.147601476,0.4394,0.1728,,,0.5977,1.6587,,,768,K,,,0.4176,,,,,80,688,K,1.714,,0.7368
Cu$_{40}$Zr$_{60}$,,,,1248,K,,,0.567,,,,,0.231565772,,,,,0.518,,,,707,K,,,0.373,,,,,61,646,K,,0.797,
Pd$_{48}$Ni$_{32}$P$_{20}$,,,,923,K,,,,,,,,,,,,,0.612,,,,,,,,,,,,,,565,K,,,
Al$_{88}$Co$_{4}$Y$_{8}$,,,,1189,K,,,,,,,,0.407023489,,,,,0.43,,,,507,K,,,0.298187935,,,,,,511.27,K,,,
Ce$_{60}$Al$_{20}$Cu$_{20}$,,,,702.1277,K,,,,,,,,0.17066427,,,,,0.564,,,,444,K,,,0.404324576,,,,,48,396,K,,,
La$_{62.5}$Al$_{12.5}$Ag$_{5}$Cu$_{15}$Co$_{5}$,3.6843,,,700,K,0.6771,8.7904,0.677142857,9,mm,,,0.113760466,0.4486,0.2541,,,0.5671,1.5644,,,474,K,,,0.4321,,,,,77,397,K,1.7611,,0.7871
Cu$_{65}$Zr$_{35}$,,,,1248,K,,,0.639,,,,,0.208859384,,,,,0.626,,,,798,K,,,0.393,,,,,17,781,K,,1.254,
Mg$_{77}$Ni$_{18}$Nd$_{5}$,0.9258,,,887,K,0.49267,,0.492671928,,,,,0.32972,0.27367,0.01747,"49,000",K/s,0.48365,0.9542,,,437,K,,,0.33207,,,,,8,429,K,1.5023,,0.50169
Cu$_{40}$Zr$_{44}$Ag$_{8}$Al$_{8}$,3.6982,,,1176,K,0.6726,7.4331,0.672619048,15,mm,,,0.134533371,0.4455,0.2029,,,0.5893,1.6377,,,791,K,,,0.4232,,,,,98,693,K,1.7307,,0.756
Ca$_{55}$Mg$_{25}$Zn$_{20}$,1.4136,,,751,K,0.55659,4.328,0.556591212,1,mm,,,0.231053604,0.36635,0.11436,,,0.49933,1.1117,,,418,K,,,0.37123,,,,,43,375,K,1.614,,0.61385
La$_{62}$Al$_{14}$Cu$_{24}$,2.2167,,,734,K,0.61172,5.3623,0.611716621,5,mm,,,0.186487142,0.40329,0.14414,,,0.54632,1.3483,,,449,K,,,0.39559,,,,,48,401,K,1.666,,0.67711
La$_{62}$Al$_{14}$(CuNi)$_{24}$,,10,mm,738,K,,,0.604336043,,,,,0.234996684,,,,,0.56504065,,,,446,K,,,0.386147186,,,,,,417,K,,,
(Cu$_{60}$Zr$_{30}$Ti$_{10}$)$_{97}$Sn$_{3}$,,,,1148,K,,,,,,,,0.166852465,,,,,0.65,,,,782,K,,,0.412,,,,,35,747,K,,,
Be$_{32.5}$Zr$_{67.5}$,,,,1238,K,,,,,,,,,,,,,0.496,,,,,,5.65,g/cm3,,,,,,,614,K,,0.709,
La$_{32}$Ce$_{32}$Al$_{16}$Ni$_{5}$Cu$_{12}$Co$_{3}$,2.8633,,,709,K,0.64175,6.0955,0.641748942,10,mm,,,0.164055451,0.42321,0.16172,,,0.57264,1.5017,,,455,K,,,0.40807,,,,,49,406,K,1.6933,,0.71086
La$_{62}$Al$_{14}$(Cu$_{.833}$Ag$_{.167}$)$_{14}$(Ni$_{.15}$Co$_{.15}$)$_{10}$,4.5665,,,703,K,0.69844,9.4732,0.698435277,20,mm,,,0.105560951,0.46328,0.25614,,,0.59459,1.7228,,,491,K,,,0.438,,,,,73,418,K,1.7692,,0.80228
Pd$_{82}$Si$_{18}$,2.3468,,,1071,K,0.60504,,0.605042017,,,,,0.24607,0,0,1800,K/s,0.60504,1.5319,,,648,K,,,0.37696,,,,,0,648,K,1.605,,0.60504
Ca$_{65}$Mg$_{35}$,,,,987,K,,,0.419,,,,,0.404770791,,,,,0.417,,,,414,K,,,0.296,,,,,3,411,K,,0.796,
Zr$_{46.25}$Ti$_{8.25}$Cu$_{7.5}$Ni$_{10}$Be$_{27.5}$,,,,1185,K,,,0.61350211,,,,,0.167136971,,,28,K/s,0.525,,,,727,K,,,0.402,,,,,105,622,K,,,
Mg$_{90}$Ni$_{5}$Nd$_{5}$,0.8659,,,919,K,0.48857,,0.488574538,,,,,0.31532,0.30536,0.04665,"53,000",K/s,0.46355,0.9108,,,449,K,,,0.33383,,,,,23,426,K,1.5175,,0.5136
Zr$_{41}$Ti$_{14}$Cu$_{12.5}$Ni$_{8}$Be$_{22.5}$C$_{2}$,4.3503,,,997,K,0.68506,6.8236,0.685055165,5,mm,,,0.146550208,0.44466,0.14905,,,0.62989,1.8509,,,683,K,,,0.42031,,,,,55,628,K,1.7175,,0.74022
((Fe$_{0.9}$Co$_{0.1}$)$_{0.75}$B$_{0.2}$Si$_{0.05}$)$_{96}$Nb$_{4}$,2.1468,,,1460,K,0.60068,4.4906,0.600684932,2,mm,,,0.222687391,0.37549,0.07166,,,0.56986,1.3965,,,877,K,,,0.38264,,,,,45,832,K,1.6239,,0.63151
