formula,Property $\beta$1,Property Zc,Property Zc units,Property Tl,Property Tl units,Property $\alpha$,Property 1/$\omega$,Property Tx/Tl,Property Dmax,Property Dmax units,Property Tm,Property Tm units,Property $\omega$,Property $\phi$,Property $\Delta$Trg,Property Rc,Property Rc units,Property Trg,Property $\delta$,Property Zmax,Property Zmax units,Property Tx,Property Tx units,Property Density,Property Density units,Property $\gamma$,Property Structure,Property Txg,Property Txg units,Property Tg/Tm,Property $\Delta$Tx,Property Tg,Property Tg units,Property $\beta$,Property R,Property $\gamma$m
Cu$_{47}$Ti$_{33}$Zr$_{5}$Nb$_{6}$Ni$_{8}$Si,2.6216,,,1187,K,0.62258,4.6817,0.622577928,2,mm,,,0.213597625,0.37567,0.05684,,,0.59983,1.5558,,,739,K,,,0.38915,,,,,27,712,K,1.6378,,0.64532
Fe$_{56}$Mn$_{5}$Cr$_{7}$Mo$_{12}$Er$_{2}$C$_{12}$B$_{6}$,2.0378,,,1401,K,0.59386,4.3432,0.593861527,8,mm,,,0.230244981,0.36793,0.06414,,,0.56602,1.3684,,,832,K,,,0.37922,,,,,39,793,K,1.6152,,0.6217
Be$_{50}$Zr$_{50}$,,,,1473,K,,,0.463,,,,,0.358763817,,,,,0.456,,,,682,K,5.08,g/cm3,0.318,,,,,10,672,K,,0.709,
Au$_{77.8}$Si$_{8.4}$Ge$_{13.8}$,0.7604,,,629,K,0.46582,,0.46581876,,,,,0.36443,0,0,3E6,K/s,0.46582,0.872,,,293,K,,,0.31779,,,,,0,293,K,1.4658,,0.46582
Fe$_{74}$Nb$_{6}$Y$_{3}$B$_{17}$,2.7864,,,1391,K,0.63192,5.0654,0.631919482,2,mm,,,0.197417775,0.39736,0.08571,,,0.59741,1.5696,,,879,K,,,0.39559,,,,,48,831,K,1.6552,,0.66643
Fe$_{74}$Mo$_{5}$P$_{10}$C$_{4}$B$_{4}$Si$_{3}$,2.809,,,1263,K,0.63245,5.0331,0.632620744,3,mm,,,0.198684707,0.39535,0.08113,,,0.6,1.5811,,,799,K,,,0.39528,,,,,41,758,K,1.6541,,0.66491
Zr$_{46.75}$Ti$_{8.25}$Cu$_{7.5}$Ni$_{10}$Be$_{27.5}$,2.1557,,,1185,K,0.6135,,0.61350211,,,,,0.16714,0.407,0.1865,28,K/s,0.52489,1.2913,,,727,K,,,0.40232,,,,,105,622,K,1.6937,,0.70211
Cu$_{43}$Zr$_{43}$Ag$_{7}$In$_{7}$,3.516,,,1135,K,0.659,5.6966,0.659030837,5,mm,,,0.175543307,0.4172,0.1021,,,0.6203,1.7355,,,748,K,,,0.4067,,,,,44,704,K,1.6828,,0.6978
Pd$_{30}$Zr$_{70}$,,,,1343,K,,,0.514,,,,,0.313238339,,,,,0.506,,,,690,K,7.71,g/cm3,0.341,,,,,10,680,K,,0.899,
Pd$_{81.5}$Cu$_{2}$Si$_{16.5}$,,,,1097.3,K,,,,,,1008.8,K,,,,,,0.577,,1,mm,,,,,,off eutectic,,,0.627,,633,K,,,
Cu$_{43}$Zr$_{43}$Ag$_{7}$Ti$_{7}$,2.931,,,1118,K,0.6386,5.2928,0.638640429,5,mm,,,0.188935913,0.406,0.0982,,,0.5993,1.5938,,,714,K,,,0.3993,,,,,44,670,K,1.665,,0.678
Pd$_{40}$Cu$_{20}$Ni$_{10}$P$_{20}$,,,,862,K,,,,,,,,,,,,,0.67,,,,,,,,,,,,,,578,K,,,
Ag$_{20}$Cu$_{35}$Zr$_{45}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7718,K,,,
Cu$_{55}$Zr$_{45}$,,,,1183,K,,,0.632,,,,,0.190996654,,,,,0.59,,,,748,K,,,0.398,,,,,50,698,K,,0.797,
Nb$_{38}$Ni$_{62}$,,,,1473,K,,,0.631,,,,,0.204805747,,,,,0.606,,,,930,K,,,0.393,,,,,38,892,K,,1.135,
Zr$_{50}$Cu$_{40}$Al$_{10}$,,,,1176,K,,,,,,,,0.172,,,,,0.607,,,,770,K,,,0.407,,,,,56,714,K,,,
Zr$_{66}$Al$_{8}$Cu$_{12}$Ni$_{14}$,2.4831,,,1172.1,K,0.62495,,0.624946677,,,,,0.17728,0.41181,0.14971,9.8,K/s,0.55891,1.4168,,,732.5,K,,,0.40089,,,,,77.4,655.1,K,1.6771,,0.69098
Al$_{30}$Sr$_{70}$,,,,953,K,,,,,,,,,,,,,0.556,,,,,,,,,,,,,,530,K,,0.665,
Cu$_{45}$Zr$_{45}$Ag$_{3}$Al$_{7}$,3.64,,,1177,K,0.6678,6.6858,0.66779949,8,mm,,,0.149570732,0.4388,0.1663,,,0.6015,1.6759,,,786,K,,,0.417,,,,,78,708,K,1.7117,,0.7341
Ca$_{45}$Mg$_{30}$Cu$_{25}$,2.2142,,,717,K,0.60809,4.9414,0.608089261,1,mm,,,0.202371797,0.39462,0.11076,,,0.55927,1.3797,,,436,K,,,0.38998,,,,,35,401,K,1.6466,,0.6569
Ni$_{69}$Cr$_{8.5}$Nb$_{3}$P$_{15.5}$B$_{4}$,,,,1187,K,,,,,,,,,,,,,0.563,,,,,,,,,,,,,,668,K,,,
Ca$_{60}$Mg$_{20}$Ag$_{20}$,,,,666.1158,K,,,,4,mm,,,0.157469943,,,,,0.601997447,,,,441.1303,K,,,0.412,,,,,40.53571429,401,K,,,
Cu$_{47}$Ni$_{13}$Zr$_{30}$Ti$_{10}$,2.2192,,,1251,K,0.60272,4.3648,0.602717826,1,mm,,,0.229105572,0.36288,0.05153,,,0.58114,1.4389,,,754,K,,,0.38119,,,,,27,727,K,1.6183,,0.6243
Zr$_{66}$Al$_{8}$Cu$_{7}$Ni$_{19}$,2.0708,,,1200.8,K,0.60018,,0.600183211,,,,,0.208,0.38974,0.10845,22.7,K/s,0.55155,1.3383,,,720.7,K,,,0.38683,,,,,58.4,662.3,K,1.6397,,0.64882
Cu$_{50}$Zr$_{50}$,2.0999,,,1237,K,0.6015,4.7945,0.601455133,2,mm,,,0.208572322,0.3895,0.1053,,,0.5546,1.3503,,,744,K,,,0.3869,,,,,58,686,K,1.6391,,0.6483
Cu$_{49}$Zr$_{36}$Ag$_{10}$Ti$_{5}$,3.2973,,,1130,K,0.6522,5.5972,0.652212389,8,mm,,,0.178660759,0.4151,0.1048,,,0.6115,1.6788,,,737,K,,,0.4047,,,,,46,691,K,1.6781,,0.6929
Fe$_{71}$MoY$_{6}$B$_{22}$,2.791,,,1517,K,0.6328,5.1594,0.63282795,2.5,mm,,,0.193820987,0.4016,0.0943,,,0.5946,1.561,,,960,K,,,0.3969,,,,,58,902,K,1.6589,,0.6711
Ni$_{42}$Ti$_{20}$Zr$_{21.5}$Al$_{8}$Cu$_{5}$Si$_{3.5}$,2.4216,,,1366,K,0.61933,5.2211,0.619326501,2.5,mm,,,0.19153052,0.40346,0.12162,,,0.56662,1.4291,,,846,K,,,0.39533,,,,,72,774,K,1.6596,,0.67204
Zr$_{50}$Cu$_{48}$Ag$_{2}$,2.1468,,,1192,K,0.6032,4.7441,0.603187919,2,mm,,,0.210788137,0.3879,0.0973,,,0.5604,1.3721,,,719,K,,,0.3866,,,,,51,668,K,1.6367,,0.646
Cu$_{35}$Ag$_{25}$Zr$_{30}$Ti$_{10}$,2.5611,,,1138,K,0.62039,4.6966,0.620386643,2,mm,,,0.212919985,0.37914,0.06291,,,0.5949,1.5315,,,706,K,,,0.38898,,,,,29,677,K,1.6377,,0.64587
Fe$_{75}$Mo$_{2}$Ga$_{3}$P$_{10}$C$_{4}$B$_{4}$Si$_{2}$,3.1557,,,1230,K,0.64878,5.7204,0.648780488,2.5,mm,,,0.17481295,0.41908,0.12195,,,0.6,1.622,,,798,K,,,0.40549,,,,,60,738,K,1.6813,,0.69756
Al$_{88}$Ni$_{4}$Y$_{8}$,,,,1189,K,,,,,,,,0.436,,,,,0.39,,,,465,K,,,0.281,,,,,1,464,K,,,
Ca$_{65}$Mg$_{25}$Cu$_{10}$,2.5311,,,691,K,0.62084,4.8779,0.620839363,0.5,mm,,,0.205006253,0.39127,0.08392,,,0.58611,1.5,,,429,K,,,0.39142,,,,,24,405,K,1.6454,,0.65557
Ca$_{63}$Al$_{32}$Cu$_{5}$,2.8227,,,831,K,0.62936,4.619,0.629362214,2,mm,,,0.216497077,0.35576,0.03448,,,0.61613,1.6395,,,523,K,,,0.38943,,,,,11,512,K,1.6376,,0.6426
Zr$_{40}$Ti$_{15}$Cu$_{11}$Ni$_{11}$Be$_{21.5}$YMg$_{0.5}$,4.6867,,,975,K,0.69128,6.6813,0.691282051,5,mm,,,0.149671471,0.44162,0.12754,,,0.64615,1.9536,,,674,K,,,0.41994,,,,,44,630,K,1.716,,0.73641
Cu$_{52.4}$Zr$_{41.1}$Al$_{6.5}$,,,,1177,K,,,,,,,,0.146,,,,,0.619,,,,800,K,,,0.42,,,,,71,729,K,,,
Gd$_{60}$Co$_{25}$Al$_{15}$,3.1448,,,952,K,0.6481,5.6686,0.648109244,5,mm,,,0.176410401,0.4177,0.1184,,,0.6008,1.6237,,,617,K,,,0.4049,,,,,45,572,K,1.6795,,0.6954
Pd$_{79}$Cu$_{2}$Ag$_{4}$Si$_{10}$P$_{5}$,3.7928,,,1006,K,0.67197,6.751,0.671968191,7,mm,,,0.148126204,0.44085,0.16456,,,0.60736,1.7114,,,676,K,,,0.41806,,,,,65,611,K,1.7137,,0.73658
Sm$_{60}$Fe$_{30}$Al$_{10}$,,,,946.6,K,,,,,,905.2,K,,,,,,0.626,,,,,,,,,off eutectic,,,0.655,,593,K,,,
Ti$_{40}$Zr$_{10}$Cu$_{38}$Pd$_{12}$,2.1195,,,1189,K,0.6014,4.6858,0.601345669,6,mm,,,0.21341073,0.3857,0.0937,,,0.5601,1.3671,,,715,K,,,0.3854,,,,,49,666,K,1.6337,,0.6426
Ca$_{57}$Mg$_{19}$Cu$_{24}$,,4,mm,,,,,,,,,,,,,,,,,,,440,K,,,,,,,,,404,K,,,
Cu$_{45}$Zr$_{25}$Ag$_{10}$Hf$_{20}$,2.8883,,,1218,K,0.6429,6.1409,0.642857143,3,mm,,,0.16284258,0.4241,0.1635,,,0.5731,1.5058,,,783,K,,,0.4087,,,,,85,698,K,1.6948,,0.7126
Fe$_{71}$NiY$_{6}$B$_{22}$,2.4223,,,1507,K,0.6145,4.6587,0.614465826,2,mm,,,0.214652156,0.3803,0.0689,,,0.5859,1.484,,,926,K,,,0.3875,,,,,43,883,K,1.6346,,0.643
Zr$_{50}$Cu$_{36}$Al$_{14}$,,,,1188,K,,,,,,,,0.182,,,,,0.609,,,,771,K,,,0.403,,,,,47,724,K,,,
Ni$_{59}$Zr$_{20}$Ti$_{16}$Si$_{5}$,3.9691,,,1304,K,0.67178,5.896,0.671779141,2,mm,,,0.169606513,0.42087,0.09705,,,0.6365,1.8481,,,876,K,,,0.4105,,,,,46,830,K,1.6919,,0.70706
Cu$_{50}$Zr$_{43}$Al$_{7}$,3.8726,,,1176,K,0.67347,6.6575,0.673469388,4,mm,,,0.150206534,0.44012,0.15604,,,0.6131,1.7407,,,792,K,,,0.4175,,,,,71,721,K,1.7116,,0.73384
Cu$_{45}$Zr$_{35}$Ag$_{10}$Hf$_{10}$,3.2834,,,1171,K,0.6567,6.4213,0.656703672,4,mm,,,0.155731705,0.4322,0.1642,,,0.5892,1.5988,,,769,K,,,0.4132,,,,,79,690,K,1.7037,,0.7242
Zr$_{49}$Cu$_{45}$Al$_{6}$,,,,1187,K,,,,,,,,0.184,,,,,0.593,,,,758,K,,,0.401,,,,,54,704,K,,,
Ni$_{75}$Si$_{8}$B$_{17}$,,,,1419,K,,,,,,,,,,,,,0.583,,,,,,,,,,,,,,818,K,,,
Ca$_{50}$Mg$_{30}$Cu$_{20}$,2.0698,,,731,K,0.60055,4.8521,0.600547196,2,mm,,,0.206096329,0.39098,0.11246,,,0.54993,1.3343,,,439,K,,,0.38747,,,,,37,402,K,1.642,,0.65116
Cu$_{47}$Zr$_{47}$Al$_{6}$,,,,1165,K,,,,,,,,0.159,,,,,0.6,,,,770,K,,,0.413,,,,,69,701,K,,,
Fe$_{69}$Mo$_{3}$Y$_{6}$B$_{22}$,3.0967,,,1488,K,0.6438,5.2665,0.643817204,6,mm,,,0.189879427,0.4031,0.0862,,,0.6102,1.6517,,,958,K,,,0.3998,,,,,50,908,K,1.6653,,0.6774
Cu$_{47}$Ti$_{33}$Zr$_{11}$Ni$_{8}$Si,3.4065,,,1157,K,0.65428,5.4365,0.654278306,4,mm,,,0.183941874,0.40706,0.08467,,,0.6223,1.7323,,,757,K,,,0.4033,,,,,37,720,K,1.6737,,0.68626
(Cu$_{60}$Zr$_{30}$Ti$_{10}$)$_{98}$Sn$_{2}$,,,,1150,K,,,,,,,,0.16900011,,,,,0.63,,,,772,K,,,0.41,,,,,42,730,K,,,
Ca$_{47}$Mg$_{19}$Zn$_{7}$Cu$_{27}$,3.1047,,,676,K,0.65089,6.3325,0.650887574,6,mm,,,0.157915515,0.4291,0.16608,,,0.58136,1.5548,,,440,K,,,0.4116,,,,,47,393,K,1.701,,0.72041
Cu$_{58.1}$Zr$_{35.9}$Al$_{6}$,,,,1173,K,,,,,,,,0.165,,,,,0.648,,,,799,K,,,0.413,,,,,39,760,K,,,
Cu$_{53.2}$Zr$_{41.8}$Al$_{5}$,,,,1176,K,,,,,,,,0.163,,,,,0.613,,,,781,K,,,0.412,,,,,60,721,K,,,
Ca$_{55}$Mg$_{11}$Zn$_{11}$Cu$_{23}$,1.9785,,,717,K,0.59972,5.269,0.59972106,1,mm,,,0.189789334,0.39679,0.15089,,,0.52859,1.2722,,,430,K,,,0.39234,,,,,51,379,K,1.6632,,0.67085
Zr$_{36}$Nb$_{12}$Cu$_{10}$Ni$_{8}$Be$_{20}$Y$_{2}$Mg$_{12}$,5.463,,,1029,K,0.71234,8.741,0.71234208,5,mm,,,0.114403386,0.47001,0.21277,,,0.6346,1.9495,,,733,K,,,0.43579,,,,,80,653,K,1.7571,,0.79009
Fe$_{73}$Mo$_{4}$Ga$_{3}$P$_{10}$C$_{4}$B$_{4}$Si$_{2}$,2.5677,,,1283,K,0.62444,5.1371,0.624318005,2,mm,,,0.194662358,0.40168,0.1058,,,0.58,1.4868,,,801,K,,,0.39521,,,,,57,744,K,1.6566,,0.66887
Fe$_{91}$B$_{9}$,0.3407,,,1628,K,0.36855,,0.368550369,,,,,0.4614,0,0,2.6E7,K/s,0.36855,0.5837,,,600,K,,,0.2693,,,,,0,600,K,1.3686,,0.36855
Al$_{16.9}$Co$_{25.6}$Zr$_{57.5}$,,,,1300,K,,,,,,,,0.218580541,,,,,0.572,,,,786,K,,,0.384540117,,,,,42,744,K,,,
"Fe$_{56}$Co$_{20}$Mo$_{4}$(P$_{0.45}$,C$_{0.2}$,B$_{0.2}$,Si$_{0.15}$)$_{20}$",2.931,,,1220,K,0.6377,5.169,0.637704918,5,mm,,,0.193461018,0.4006,0.0868,,,0.6033,1.6074,,,778,K,,,0.3978,,,,,42,736,K,1.6603,,0.6721
Fe$_{76}$Si$_{9}$B$_{10}$P$_{5}$,3.5743,,,1258,K,0.6613,5.8112,0.66136725,2.5,mm,,,0.172081498,0.4209,0.1088,,,0.62,1.7402,,,832,K,,,0.4082,,,,,52,780,K,1.6866,,0.7027
Cu$_{60.3}$Zr$_{37.2}$Al$_{2.5}$,,,,1185,K,,,,,,,,0.159,,,,,0.619,,,,794,K,,,0.414,,,,,61,733,K,,,
Cu$_{34}$Zr$_{50}$Ag$_{8}$Al$_{8}$,3.9166,,,1148,K,0.6794,7.824,0.679442509,15,mm,,,0.127811861,0.4503,0.2137,,,0.5923,1.6667,,,780,K,,,0.4267,,,,,100,680,K,1.7394,,0.7666
Cu$_{58.7}$Zr$_{36.3}$Al$_{5}$,,,,1179,K,,,,,,,,0.155,,,,,0.634,,,,803,K,,,0.417,,,,,55,748,K,,,
(Cu$_{60}$Zr$_{30}$Ti$_{10}$)$_{98}$Y$_{2}$,4.0173,,,1122,K,0.67469,6.217,0.674688057,5,mm,,,0.160849284,0.43143,0.12048,,,0.63012,1.8241,,,757,K,,,0.41389,,,,,50,707,K,1.7008,,0.71925
Pd$_{79}$Cu$_{4}$Ag$_{2}$Si$_{10}$P$_{5}$,4.0692,,,1005,K,0.6806,7.2216,0.680597015,5,mm,,,0.138473468,0.44814,0.18112,,,0.60995,1.7449,,,684,K,,,0.42274,,,,,71,613,K,1.7258,,0.75124
Ca$_{60}$Mg$_{25}$Cu$_{15}$,2.4,,,676,K,0.61538,4.8593,0.615384615,2,mm,,,0.205790958,0.39168,0.09091,,,0.57692,1.4545,,,416,K,,,0.39024,,,,,26,390,K,1.6436,,0.65385
Pd$_{79.5}$Cu$_{4}$Si$_{16.5}$,2.5863,,,1086,K,0.62431,,0.624309392,,,,,0.19864,0.39786,0.09534,500,K/s,0.58471,1.5033,,,678,K,,,0.39396,,,,,43,635,K,1.6524,,0.6639
(Fe$_{81.5}$Si$_{3.8}$C$_{14}$Tm$_{0.7}$)$_{92.37}$P$_{7.63}$,1.8254,,,1284,K,0.5857,4.6199,0.585669782,1,mm,,,0.216454902,0.3819,0.1089,,,0.5351,1.2596,,,752,K,,,0.3815,,,,,65,687,K,1.6297,,0.6363
Ho$_{35}$Al$_{24}$Co$_{20}$Y$_{21}$,,5,mm,1074,K,,,0.648044693,,,,,0.166144756,,,,,0.599627561,,,,696,K,,,0.405122235,,,,,,644,K,,,
Fe$_{58}$Co$_{14}$Y$_{6}$B$_{22}$,2.5957,,,1485,K,0.6229,4.8271,0.622895623,2.5,mm,,,0.207163721,0.3874,0.0744,,,0.5926,1.5289,,,925,K,,,0.3911,,,,,45,880,K,1.6437,,0.6532
Cu$_{50}$Hf$_{45}$Al$_{5}$,,,,1230.645,K,,,,,,,,,,,,,0.62,,,,,,,,,,,,,91,763,K,,,
Pd$_{40}$Ni$_{40}$P$_{19}$S,,,,884,K,,,,,,,,,,,,,0.641,,,,,,,,,,,,,,567,K,,,
Ti$_{40}$Zr$_{10}$Cu$_{40}$Pd$_{10}$,2.074,,,1184,K,0.59882,4.65,0.598817568,4,mm,,,0.215053763,0.38432,0.09351,,,0.55743,1.3531,,,709,K,,,0.38449,,,,,49,660,K,1.6317,,0.6402
Ag$_{15}$Cu$_{40}$Zr$_{45}$,,,,671.7915,K,,,,,,,,,,,,,1.001507881,,,,758.9319,K,,,0.564431147,,,,,86.12737398,672.8045,K,,,
Zr$_{56}$Cu$_{36}$Al$_{8}$,,,,1212,K,,,,,,,,0.195,,,,,0.565,,,,747,K,,,0.394,,,,,62,685,K,,,
(Cu$_{0.5}$Zr$_{0.425}$Ti$_{0.075}$)$_{99}$Sn,2.966,,,1140,K,0.6404,5.3676,0.640350877,6,mm,,,0.186303003,0.4086,0.1028,,,0.5991,1.5974,,,730,K,,,0.4004,,,,,47,683,K,1.6679,,0.6816
Ca$_{50}$Mg$_{25}$Zn$_{15}$Cu$_{10}$,1.9184,,,723,K,0.59474,5.0477,0.594744122,8,mm,,,0.19811003,0.39244,0.13824,,,0.52974,1.2647,,,430,K,,,0.38879,,,,,47,383,K,1.6525,,0.65975
Al$_{13.3}$Co$_{26.7}$Zr$_{60}$,,,,1254,K,,,,,,,,0.220286119,,,,,0.573,,,,757,K,,,0.383874239,,,,,39,718,K,,,
Cu$_{50}$Hf$_{42.5}$Al$_{7.5}$,,,,1239.683,K,,,,,,,,,,,,,0.63,,,,,,,,,,,,,55,781,K,,,
La$_{32}$Ce$_{32}$Al$_{16}$Ni$_{5}$Cu$_{7}$Co$_{8}$,2.728,,,739,K,0.63735,6.1395,0.637347767,10,mm,,,0.162879713,0.42149,0.17028,,,0.56292,1.4582,,,471,K,,,0.40779,,,,,55,416,K,1.6951,,0.71177
La$_{62}$Cu$_{12}$Ni$_{12}$Al$_{14}$,2.2424,,,744,K,0.60753,4.7415,0.607526882,12,mm,,,0.210903722,0.38755,0.09034,,,0.56855,1.4081,,,452,K,,,0.38732,,,,,29,423,K,1.6371,,0.64651
Ca$_{60}$Mg$_{10}$Zn$_{30}$,2.1482,,,666,K,0.6006,4.4758,0.600600601,0.5,mm,,,0.223423745,0.3745,0.06993,,,0.57057,1.3986,,,400,K,,,0.38241,,,,,20,380,K,1.6232,,0.63063
Ca$_{65}$Cu$_{35}$,,,,1033,K,,,0.427,,,,,0.397684023,,,,,0.424,,,,441,K,,,0.3,,,,,3,438,K,,0.627,
Zr$_{65.3}$Al$_{6.5}$Ni$_{8.2}$Cu$_{20}$,,,,1188,K,,,,,,,,0.158841584,,,,,0.539,,,,745,K,,,0.407549234,,,,,105,640,K,,,
Fe$_{61}$B$_{15}$Mo$_{7}$Zr$_{8}$Co$_{5}$Y$_{2}$Cr$_{2}$,3.0633,,,1490,K,0.64356,5.376,0.643557047,5,mm,,,0.186011905,0.40833,0.09815,,,0.60477,1.6283,,,958.9,K,,,0.40103,,,,,57.8,901.1,K,1.6689,,0.68235
Ni$_{64}$Zr$_{36}$,,,,1343,K,,,0.637,,,,,0.208107058,,,,,0.621,,,,856,K,,,0.393,,,,,22,834,K,,1.254,
Mg$_{65}$Cu$_{7.5}$Ni$_{7.5}$Ag$_{5}$Zn$_{5}$Gd$_{7.5}$Y$_{2.5}$,3.4588,,,719,K,0.65925,5.9909,0.659248957,13,mm,,,0.166919828,0.42615,0.12811,,,0.60918,1.6868,,,474,K,,,0.40968,,,,,36,438,K,1.6914,,0.70932
Mg$_{57}$Cu$_{31}$Y$_{6.6}$Nd$_{5.4}$,2.5453,,,778,K,0.63111,6.2135,0.631105398,14,mm,,,0.160939889,0.41839,0.18234,,,0.54884,1.3989,,,491,K,,,0.40747,,,,,64,427,K,1.6987,,0.71337
Cu$_{46}$Zr$_{54}$,2.508,,,1201,K,0.62115,5.0204,0.621149042,2,mm,,,0.199187316,0.39767,0.09901,,,0.57952,1.4772,,,746,K,,,0.39325,,,,,50,696,K,1.6514,,0.66278
Pd$_{40}$Cu$_{25}$Ni$_{15}$P$_{20}$,6.7982,,,910,K,0.73407,,0.734065934,,,,,0.10071,0.48411,0.2293,0.15,K/s,0.65495,2.1274,,,668,K,,,0.44356,,,,,72,596,K,1.7758,,0.81319
Mg$_{65}$Cu$_{7.5}$Ni$_{7.5}$Zn$_{5}$Ag$_{5}$Y$_{10}$,3.0881,,,717,K,0.64714,,0.647140865,,,,,0.1727,0.42053,0.13058,50,K/s,0.59414,1.5945,,,464,K,,,0.40595,,,,,38,426,K,1.6833,,0.70014
Mg$_{65}$Cu$_{25}$Tb$_{10}$,,5,mm,733,K,,,0.664392906,,,,,0.12597707,,,,,0.564802183,,,,487,K,,,0.424585876,,,,,,414,K,,,
Mg$_{62.5}$Cu$_{26.5}$Gd$_{11}$,2.9369,,,748,K,0.64572,6.3593,0.645721925,9,mm,,,0.157250012,0.42694,0.17445,,,0.57086,1.5047,,,483,K,,,0.41106,,,,,56,427,K,1.702,,0.72059
Mg$_{57}$Cu$_{31.5}$Y$_{8}$Nd$_{3.5}$,2.7816,,,778,K,0.64396,7.0098,0.643958869,12,mm,,,0.142657422,0.42713,0.21307,,,0.54756,1.4233,,,501,K,,,0.41611,,,,,75,426,K,1.7236,,0.74036
Zr$_{65}$Al$_{7.5}$Cu$_{17.5}$Ni$_{10}$,2.5877,,,1167.6,K,0.63001,,0.630010277,,,,,0.17266,0.41545,0.15476,1.5,K/s,0.56226,1.4392,,,735.6,K,,,0.40327,,,,,79.1,656.5,K,1.6828,,0.69776
Ca$_{50}$Mg$_{25}$Cu$_{25}$,3.7637,,,655,K,0.67023,6.5416,0.670229008,9,mm,,,0.1528678,0.43777,0.15294,,,0.61069,1.7216,,,439,K,,,0.41611,,,,,39,400,K,1.7082,,0.72977
Fe$_{65.5}$Cr$_{4}$Mo$_{4}$Ga$_{4}$P$_{12}$C$_{5}$B$_{5.5}$,2.2552,,,1322,K,0.6097,4.9148,0.6096823,3,mm,,,0.203467079,0.394,0.1057,,,0.5635,1.3969,,,806,K,,,0.3899,,,,,61,745,K,1.6454,,0.6558
Ti$_{63}$Be$_{37}$,0.9795,,,1353,K,0.49741,,0.497413156,,,,,0.33564,0,0,6.3E6,K/s,0.49741,0.9897,,,673,K,,,0.33218,,,,,0,673,K,1.4974,,0.49741
Pd$_{83}$Si$_{17}$,,,,1092,K,,,0.591,,,,,0.246666307,,,,,0.579,,,,645,K,,,0.374,,,,,13,632,K,,0.775,
Al$_{18}$Sr$_{82}$,,,,863,K,,,,,,,,,,,,,0.527,,,,,,,,,,,,,,455,K,,0.665,
Ti$_{40}$Zr$_{10}$Cu$_{36}$Pd$_{14}$,2.147,,,1191,K,0.6029,4.7081,0.602854744,6,mm,,,0.212399907,0.3865,0.0939,,,0.5617,1.3755,,,718,K,,,0.386,,,,,49,669,K,1.635,,0.644
Cu$_{50}$Ag$_{10}$Zr$_{30}$Ti$_{10}$,3.087,,,1130,K,0.64248,5.1293,0.642477876,4,mm,,,0.194958376,0.39555,0.07339,,,0.61416,1.6651,,,726,K,,,0.39803,,,,,32,694,K,1.6603,,0.6708
Mg$_{80}$Cu$_{10}$Y$_{10}$,,1.5,mm,,,,,,,,,,,,,,,,,,,448,K,,,,,,,,,427,K,,,
