formula,,,,,,,,,,,,,,,
Gd,36,Al,24,Co,20,Y,20,,,,,,,,
Ca,65,Mg,10,Zn,25,,,,,,,,,,
Fe,74.25,B,14.85,Si,9.9,Nb,,,,,,,,,
Fe,45,Mg,19,Cu,36,,,,,,,,,,
Mg,59.4,Cu,23,Ag,6.6,Gd,11,,,,,,,,
Ni,69,Cr,8.5,Nb,3,P,13.5,B,6,,,,,,
Dy,46,Al,24,Co,18,Fe,2,Y,10,,,,,,
Pd,77,Cu,6,Si,17,,,,,,,,,,
Pt,42.5,Cu,27,Ni,59.5,P,21,,,,,,,,
Pd,73.5,Cu,10,Si,16.5,,,,,,,,,,
Mg,65,Cu,15,Ag,5,Pd,5,Y,10,,,,,,
Ni,42,Ti,20,Zr,20.5,Al,8,Cu,5,Si,4.5,,,,
Cu,60,Hf,40,,,,,,,,,,,,
Zr,45.38,Ti,9.62,Cu,8.75,Ni,10,Be,26.25,,,,,,
Cu,55,Zr,40,Ga,5,,,,,,,,,,
Zr,51,Cu,20.7,Ni,12,Al,16.3,,,,,,,,
Pd,45,Cu,25,Ni,10,P,20,,,,,,,,
Cu,45,Zr,48,Al,7,,,,,,,,,,
La,62,Al,14,Cu,16.66,Ag,3.34,Ni,0.6,Co,0.6,,,,
Ti,50,Ni,24,Cu,20,BSi,2,Sn,3,,,,,,
Ni,66,Zr,34,,,,,,,,,,,,
Cu,60,Hf,25,Ti,15,,,,,,,,,,
Ca,70,Mg,15,Zn,15,,,,,,,,,,
Co,64.8,Fe,7.2,B,19.2,Si,4.8,Nb,4,,,,,,
Co,43,Fe,20,Ta,5.5,B,31.5,,,,,,,,
Cu,65,Hf,35,,,,,,,,,,,,
Cu,55,Hf,45,,,,,,,,,,,,
Fe,0.432,Co,0.288,B,0.192,Si,0.048,Nb,0.04,Cr,3,,,,
Cu,44,Zr,44,Ag,12,,,,,,,,,,
Au,35,Ca,65,,,,,,,,,,,,
Mg,65,Cu,15,Ag,10,Y,10,,,,,,,,
Ag,10,Cu,25,Zr,65,,,,,,,,,,
Fe,58,Cr,5,Mo,14,Er,2,C,15,B,6,,,,
Ca,40,Mg,30,Cu,30,,,,,,,,,,
Mg,65,Cu,15,Ag,10,Gd,10,,,,,,,,
Fe,74.5,Mo,5.5,P,12.5,C,5,B,2.5,,,,,,
Cu,50,Zr,45,Al,5,,,,,,,,,,
Ce,70,Al,15,Cu,15,,,,,,,,,,
Fe,72,Nb,4,B,20,Si,4,,,,,,,,
Cu,45,Zr,45,Al,10,,,,,,,,,,
Pd,79,Cu,3,Ag,3,Si,10,P,5,,,,,,
Ca,50,Mg,22.5,Cu,27.5,,,,,,,,,,
Ca,55,Mg,20,Zn,25,,,,,,,,,,
Cu,60,Zr,40,,,,,,,,,,,,
Ti,55,Zr,10,Cu,9,Ni,8,Be,18,,,,,,
Ti,45,Ni,15,Cu,25,Sn,3,Be,7,Zr,5,,,,
Mg,75,Ni,15,Nd,10,,,,,,,,,,
Fe,69,Ni,3,Y,6,B,22,,,,,,,,
Fe,70,Co,2,Y,6,B,22,,,,,,,,
La,55,Al,25,Ni,5,Cu,15,,,,,,,,
Pd,42.5,Cu,30,Ni,7.5,P,20,,,,,,,,
Fe,68,Mo,4,Y,6,B,22,,,,,,,,
Ca,55,Mg,15,Cu,30,,,,,,,,,,
Zr,48,Cu,36,Ag,8,Al,8,,,,,,,,
Cu,51.5,Zr,40.5,Al,8,,,,,,,,,,
Co,43.2,Fe,28.8,B,19.2,Si,4.8,Nb,4,,,,,,
Ca,65,Mg,20,Zn,15,,,,,,,,,,
Ca,40,Mg,25,Cu,35,,,,,,,,,,
La,55,Al,25,Ni,5,Cu,10,Co,5,,,,,,
Ni,60,Zr,20,Ti,5,Nb,10,Al,5,,,,,,
Zr,54,Cu,38,Al,8,,,,,,,,,,
Cu,38,Zr,46,Ag,8,Al,8,,,,,,,,
Be,30,Zr,70,,,,,,,,,,,,
Ni,60,Nb,20,Zr,20,,,,,,,,,,
Fe,74,Mo,4,Ga,2,P,10,C,4,B,4,Si,2,,
Cu,49.4,Zr,41.99,Ti,7.41,Sn,0.6,Si,0.6,,,,,,
Fe,74.25,B,14.85,Si,9.9,Zr,,,,,,,,,
Pd,81,Si,19,,,,,,,,,,,,
Zr,52.5,Cu,17.9,Ni,14.5,Al,10,Ti,5,,,,,,
Cu,43,Zr,40,Ag,7,Ti,10,,,,,,,,
Zr,55,Al,20,Co,25,,,,,,,,,,
Zr,65,Be,35,,,,,,,,,,,,
Mg,65,Cu,20,Ni,5,Gd,10,,,,,,,,
Mg,65,Cu,15,Ag,10,Y,2,Gd,8,,,,,,
Zr,41.2,Ti,13.8,Cu,12.5,Ni,10,Be,22.5,,,,,,
Pd,95,Si,5,,,,,,,,,,,,
Cu,52.5,Hf,40,Al,7.5,,,,,,,,,,
Fe,68,Co,4,Y,6,B,22,,,,,,,,
Cu,47,Ti,33,Zr,9,Nb,2,Ni,8,Si,,,,,
Ni,65,Zr,35,,,,,,,,,,,,
Cu,47,Ti,33,Zr,11,Ni,2,Sn,6,Si,,,,,
Cu,40,Zr,40,Ag,10,Al,10,,,,,,,,
Ca,62.5,Mg,17.5,Zn,20,,,,,,,,,,
Ti,53,Cu,15,Ni,18.5,Al,7,Si,3,Hf,3,B,0.5,,
Zr,57,Nb,5,Cu,15.4,Ni,12.6,Al,10,,,,,,
Ni,60,Zr,20,Ti,7.5,Nb,7.5,Al,5,,,,,,
Al,23.5,Co,23.5,Zr,53,,,,,,,,,,
Pr,60,Fe,30,Al,10,,,,,,,,,,
Ni,42,Ti,19,Zr,22.5,Al,8,Cu,5,Si,3.5,,,,
Cu,42,Zr,42,Ag,8,Al,8,,,,,,,,
Sc,36,Al,24,Co,20,Y,20,,,,,,,,
Cu,46.4,Ag,11.6,Zr,35,Ti,7,,,,,,,,
Cu,48,Zr,48,Ag,4,,,,,,,,,,
Cu,45,Zr,45,Ag,10,,,,,,,,,,
Fe,75,Mo,4,P,10,C,4,B,4,Si,3,,,,
Er,50,Al,24,Co,20,Y,6,,,,,,,,
Ca,70,Mg,10,Zn,20,,,,,,,,,,
Ti,50,Cu,42.5,Ni,7.5,,,,,,,,,,
Fe,61,B,15,Mo,7,Zr,8,Co,7,Y,2,,,,
Ni,69,Cr,8.5,Nb,3,P,19.5,,,,,,,,
Ca,60,Mg,20,Cu,20,,,,,,,,,,
La,62.5,Al,12.5,Ag,5,Cu,17.5,Fe,2.5,,,,,,
Zr,50,Cu,38,Al,12,,,,,,,,,,
Cu,54,Ni,6,Zr,22,Ti,18,,,,,,,,
Fe,56,Co,16,Y,6,B,22,,,,,,,,
Al,22.3,Co,22.3,Zr,55.4,,,,,,,,,,
Pd,37.5,Cu,30,Ni,12.5,P,20,,,,,,,,
Mg,65,Cu,25,Gd,5,Y,5,,,,,,,,
Zr,50,Cu,43,Al,7,,,,,,,,,,
Zr,48,Cu,42,Al,7,Ag,3,,,,,,,,
Zr,46,Cu,49,Al,5,,,,,,,,,,
Sm,40,Al,25,Co,20,Y,15,,,,,,,,
Cu,60,Hf,20,Ti,20,,,,,,,,,,
Al,32,Ca,58,Mg,10,,,,,,,,,,
Ca,58,Mg,18,Cu,24,,,,,,,,,,
Ce,60,Al,20,Co,20,,,,,,,,,,
Cu,49,Hf,42,Al,9,,,,,,,,,,
Ni,59,Zr,16,Ti,13,Si,3,Sn,2,Nb,7,,,,
Al,20,Ca,65,Mg,15,,,,,,,,,,
Ca,55,Mg,25,Ag,20,,,,,,,,,,
La,55,Al,15,Ag,10,Cu,20,,,,,,,,
Ce,70,Al,10,Cu,20,,,,,,,,,,
Pd,84,Si,16,,,,,,,,,,,,
Ag,30,Cu,40,Zr,30,,,,,,,,,,
Zr,50,Cu,43,Ag,7,,,,,,,,,,
Fe,68,Mo,5,Ni,5,Cr,2,P,12.5,C,5,B,2.5,,
Ca,55,Mg,20,Cu,25,,,,,,,,,,
Ti,42.5,Zr,2.5,Hf,5,Cu,42.5,Ni,7.5,,,,,,
Hf,48,Cu,29.25,Ni,9.75,Al,13,,,,,,,,
Cu,56.4,Hf,23.5,Ti,14.1,Nb,6,,,,,,,,
Zr,57,Ti,5,Al,10,Cu,20,Ni,8,,,,,,
Zr,52,Cu,38,Al,10,,,,,,,,,,
La,65,Al,14,Cu,9.2,Ag,1.8,Ni,5,Co,5,,,,
Fe,79,P,10,C,4,B,4,Si,3,,,,,,
Zr,54,Cu,40,Al,6,,,,,,,,,,
Fe,73.5,B,14.7,Si,9.8,Nb,2,,,,,,,,
Fe,70.56,Nb,3.92,B,19.6,Si,3.92,Y,2,,,,,,
Cu,45,Zr,15,Ag,10,Hf,30,,,,,,,,
Mg,65,Cu,20,Zn,5,Y,10,,,,,,,,
Ca,63,Al,32,Ag,5,,,,,,,,,,
Pd,45,Cu,30,Ni,5,P,20,,,,,,,,
Co,57.6,Fe,14.4,B,19.2,Si,4.8,Nb,4,,,,,,
Be,40,Zr,60,,,,,,,,,,,,
Ni,57.6,Fe,14.4,B,19.2,Si,4.8,Nb,4,,,,,,
Mg,65,Ni,20,Nd,15,,,,,,,,,,
Ti,47.5,Zr,2.5,Cu,42.5,Ni,7.5,,,,,,,,
Ti,53,Cu,15,Ni,18.5,Al,7,Si,3,Sc,3,B,0.5,,
Al,86.5,Ni,4.5,Y,9,,,,,,,,,,
Mg,65,Cu,25,Gd,10,,,,,,,,,,
Pd,79,Cu,5,AgSi,10,P,5,,,,,,,,
Fe,50.4,Co,21.6,B,19.2,Si,4.8,Nb,4,,,,,,
Zr,64.5,Al,9.2,Ni,13.2,Cu,13.1,,,,,,,,
Zr,49,Cu,46,Al,5,,,,,,,,,,
Fe,70,Mo,2,Y,6,B,22,,,,,,,,
Fe,68.3,C,6.9,Si,2.5,B,6.7,P,8.8,Cr,2.2,Mo,2.5,Al,2.1
Mg,64.5,Cu,24.5,Gd,11,,,,,,,,,,
Mg,65,Cu,25,Dy,10,,,,,,,,,,
Pt,57.5,Cu,14.7,Ni,5.3,P,22.5,,,,,,,,
Zr,50,Cu,45,Ag,5,,,,,,,,,,
Fe,66,Co,10,Mo,4,P,9,C,4,B,4,Si,3,,
Zr,54,Al,15,Ni,10,Cu,19,Y,2,,,,,,
Mg,65,Cu,7.5,Ni,7.5,Ag,5,Zn,5,Gd,2.5,Y,7.5,,
Ni,28,Zr,72,,,,,,,,,,,,
Ag,5,Cu,55,Zr,40,,,,,,,,,,
Ni,69,Cr,8.5,Nb,3,P,16.5,B,3,,,,,,
Zr,48,Nb,8,Cu,12,Fe,8,Be,24,,,,,,
Al,89.5,Co,3.5,Y,7,,,,,,,,,,
La,62.5,Al,12.5,Cu,10,Ni,5,Co,5,Ag,5,,,,
Zr,60,Cu,30,Al,10,,,,,,,,,,
Ca,60,Mg,15,Zn,25,,,,,,,,,,
Pd,40,Cu,32.5,Ni,7.5,P,20,,,,,,,,
Fe,71.28,Nb,3.96,B,19.8,Si,3.96,Y,,,,,,,
Ni,61,Zr,22,Nb,7,Al,4,Ta,6,,,,,,
Ti,34,Zr,11,Cu,47,Ni,8,,,,,,,,
Zr,45,Cu,48,Al,7,,,,,,,,,,
Zr,45,Cu,49,Al,6,,,,,,,,,,
Al,85,Co,5,Y,10,,,,,,,,,,
Cu,45,Zr,45,Ag,7,Al,3,,,,,,,,
Cu,40,Zr,60,,,,,,,,,,,,
Pd,48,Ni,32,P,20,,,,,,,,,,
Al,88,Co,4,Y,8,,,,,,,,,,
Ce,60,Al,20,Cu,20,,,,,,,,,,
La,62.5,Al,12.5,Ag,5,Cu,15,Co,5,,,,,,
Cu,65,Zr,35,,,,,,,,,,,,
Mg,77,Ni,18,Nd,5,,,,,,,,,,
Cu,40,Zr,44,Ag,8,Al,8,,,,,,,,
Ca,55,Mg,25,Zn,20,,,,,,,,,,
La,62,Al,14,Cu,24,,,,,,,,,,
Cu,58.2,Zr,29.1,Ti,9.7,Sn,3,,,,,,,,
Be,32.5,Zr,67.5,,,,,,,,,,,,
La,32,Ce,32,Al,16,Ni,5,Cu,12,Co,3,,,,
La,62,Al,14,Cu,11.662,Ag,2.338,Ni,1.5,Co,1.5,,,,
Pd,82,Si,18,,,,,,,,,,,,
Ca,65,Mg,35,,,,,,,,,,,,
Zr,46.25,Ti,8.25,Cu,7.5,Ni,10,Be,27.5,,,,,,
Mg,90,Ni,5,Nd,5,,,,,,,,,,
Zr,41,Ti,14,Cu,12.5,Ni,8,Be,22.5,C,2,,,,
Fe,64.8,Co,7.2,B,19.2,Si,4.8,Nb,4,,,,,,
Zr,48,Cu,43,Al,7,Ag,2,,,,,,,,
Ag,10,Cu,20,Zr,70,,,,,,,,,,
Zr,42.63,Ti,12.37,Cu,11.25,Ni,10,Be,23.75,,,,,,
Fe,79,Si,10,B,11,,,,,,,,,,
Pd,40,Ni,40,P,20,,,,,,,,,,
Ca,60,Mg,25,Zn,15,,,,,,,,,,
Mg,63.5,Cu,27.5,Gd,9,,,,,,,,,,
Ni,60,Nb,25,Zr,15,,,,,,,,,,
Al,30,Ca,60,Cu,10,,,,,,,,,,
Al,40,La,45,Ni,15,,,,,,,,,,
Zr,38.5,Ti,16.5,Ni,9.75,Cu,15.25,Be,20,,,,,,
Fe,69.12,Nb,3.84,B,19.2,Si,3.84,Y,4,,,,,,
Ag,10,Cu,50,Zr,40,,,,,,,,,,
Mg,65,Cu,25,Tb,9,Y,,,,,,,,,
Ca,60,Mg,20,Zn,20,,,,,,,,,,
Fe,43.2,Co,28.8,B,19.2,Si,4.8,Nb,4,,,,,,
Fe,72,Y,6,B,22,,,,,,,,,,
Ca,50,Mg,30,Ag,20,,,,,,,,,,
Pd,80,Si,20,,,,,,,,,,,,
Cu,62,Zr,38,,,,,,,,,,,,
Ca,65,Mg,25,Zn,10,,,,,,,,,,
Cu,52.5,Zr,42.5,Ga,5,,,,,,,,,,
La,62.5,Al,12.5,Cu,15,Ni,5,Ag,5,,,,,,
Fe,67,Mo,5,Y,6,B,22,,,,,,,,
Cu,43,Zr,43,Al,7,Ag,7,,,,,,,,
Cu,66,Zr,34,,,,,,,,,,,,
Pd,64.5,Cu,19,Si,16.5,,,,,,,,,,
La,62,Al,14,Cu,17,Ag,7,,,,,,,,
La,32,Ce,32,Al,16,Ni,5,Cu,15,,,,,,
Zr,36,Nb,12,Cu,10,Ni,6,Fe,2,Be,20,Y,2,Mg,12
Zr,48,Cu,34,Pd,2,Ag,8,Al,8,,,,,,
Cu,55,Zr,40,Al,5,,,,,,,,,,
Cu,58.8,Hf,24.5,Ti,14.7,Nb,2,,,,,,,,
Cu,47,Zr,43,Al,7,Be,3,,,,,,,,
Pd,81.5,Cu,2,Si,6.5,,,,,,,,,,
Al,25,Au,20,La,55,,,,,,,,,,
La,62.5,Al,12.5,Ag,5,Cu,15,Fe,5,,,,,,
Mg,65,Cu,15,Ag,10,Y,6,Gd,4,,,,,,
Cu,59.6,Zr,36.9,Al,3.5,,,,,,,,,,
Ti,40,Zr,10,Cu,30,Pd,20,,,,,,,,
Zr,49,Cu,47,Al,4,,,,,,,,,,
La,60,Al,15,Ag,5,Cu,20,,,,,,,,
La,62,Al,14,Cu,18,Ag,6,,,,,,,,
Ca,65,Mg,15,Ag,20,,,,,,,,,,
Cu,50,Zr,42.5,Ti,7.5,,,,,,,,,,
Y,36,Sc,20,Al,24,Co,20,,,,,,,,
Ca,60,Al,30,Ag,10,,,,,,,,,,
Ti,41.5,Zr,2.5,Hf,5,Cu,37.5,Ni,7.5,SiSn,5,,,,
Zr,58,Cu,36,Al,6,,,,,,,,,,
Mg,35,Sr,65,,,,,,,,,,,,
La,62,Al,14,Cu,19,Ag,5,,,,,,,,
Mg,65,Cu,25,Tb,8,Y,2,,,,,,,,
Mg,65,Cu,25,Nd,10,,,,,,,,,,
Cu,60,Zr,30,Ti,10,,,,,,,,,,
La,55,Al,17.5,Ag,7.5,Cu,20,,,,,,,,
Cu,59.4,Zr,29.7,Ti,9.9,Sn,,,,,,,,,
Pd,42.5,Cu,27.5,Ni,10,P,20,,,,,,,,
Cu,47,Ti,33,Zr,11,Sn,8,Si,,,,,,,
Zr,66,Al,8,Ni,26,,,,,,,,,,
Zr,58.5,Nb,2.8,Cu,15.6,Ni,12.8,Al,10.3,,,,,,
Cu,47,Ti,33,Zr,11,Si,Ni,6,Sn,2,,,,,
Cu,48,Zr,48,Al,4,,,,,,,,,,
Cu,55,Zr,42.5,Ga,2.5,,,,,,,,,,
Ti,41.5,Zr,2.5,Hf,5,Cu,42.5,Ni,7.5,Si,,,,,
Fe,67,Ni,5,Y,6,B,22,,,,,,,,
Cu,45,Zr,45,Ag,5,Al,5,,,,,,,,
Co,50,Cr,15,Mo,14,C,15,B,6,,,,,,
Ca,45,Mg,25,Cu,30,,,,,,,,,,
Zr,50,Cu,40,Ag,10,,,,,,,,,,
Ca,60,Mg,13,Cu,27,,,,,,,,,,
Gd,60,Ni,15,Al,25,,,,,,,,,,
La,62,Al,14,Cu,20,Ag,4,,,,,,,,
Ti,40,Zr,25,Ni,8,Cu,9,Be,18,,,,,,
Mg,61,Cu,28,Gd,11,,,,,,,,,,
Ti,65,Be,18,Cu,9,Ni,8,,,,,,,,
Y,60,Fe,30,Al,10,,,,,,,,,,
Cu,55,Ag,5,Zr,30,Ti,10,,,,,,,,
Ce,65,Al,15,Cu,20,,,,,,,,,,
Cu,56,Zr,44,,,,,,,,,,,,
Nd,60,Fe,30,Al,10,,,,,,,,,,
La,62,Al,14,Cu,9.996,Ag,2.004,Ni,1.8,Co,1.8,,,,
Ca,66.4,Al,33.6,,,,,,,,,,,,
La,55,Al,25,Ni,15,Cu,5,,,,,,,,
Ni,64.8,Fe,7.2,B,19.2,Si,4.8,Nb,4,,,,,,
Ni,69,Cr,8.5,Nb,3,P,18,B,1.5,,,,,,
Mg,58.5,Cu,30.5,Gd,11,,,,,,,,,,
Cu,72,Zr,28,,,,,,,,,,,,
Cu,54,Ag,6,Zr,33,Ti,7,,,,,,,,
Ca,53,Mg,23,Cu,24,,,,,,,,,,
Mg,65,Cu,15,Ag,10,Y,8,Gd,2,,,,,,
Zr,44,Cu,51,Al,5,,,,,,,,,,
Fe,77,Mo,2,P,10,C,4,B,4,Si,3,,,,
Ni,37,Zr,63,,,,,,,,,,,,
Be,45,Zr,55,,,,,,,,,,,,
Zr,65.5,Al,5.6,Ni,6.5,Cu,22.4,,,,,,,,
Ga,18,Sr,82,,,,,,,,,,,,
Fe,41,Co,7,Cr,15,Mo,14,C,15,B,6,Y,2,,
Cu,25,Zr,75,,,,,,,,,,,,
Cu,40,Ag,20,Zr,30,Ti,10,,,,,,,,
Mg,58.5,Cu,30.5,Y,11,,,,,,,,,,
Ni,60,Nb,40,,,,,,,,,,,,
Zr,41,Ti,14,Cu,12.5,Ni,2,Be,22.5,C,8,,,,
Ag,25,Cu,40,Zr,35,,,,,,,,,,
Cu,47,Ti,33,Zr,5,Nb,6,Ni,8,Si,,,,,
Fe,56,Mn,5,Cr,7,Mo,12,Er,2,C,12,B,6,,
